"id","name","animeCount","description","name_id"
"2832","Америка","254","Америка, также называемая в совокупности Америкой, включает в себя всю совокупность континентов Северной и Южной Америки. Вместе они составляют большую часть западного полушария Земли и составляют Новый Свет.","Americas"
"8038","игры с сосками","251","","nipple play"
"2840","мафия","250","Мафия — это тип организованного преступного синдиката, основными видами деятельности которого являются рэкет, арбитраж споров между преступниками, а также организация и надзор за незаконными сделками и соглашениями. Термин изначально применялся к сицилийской мафии, но с тех пор расширился, чтобы охватить другие организации с похожими методами и целями, такие как «русская мафия» или «японская мафия».","mafia"
"6062","героическая жертва","249","«Чтобы спасти многих, немногим придётся пожертвовать своими жизнями...» — или так может думать этот персонаж. В казалось бы безнадёжной ситуации, против невозможных шансов, персонаж не выбирает путь труса и бегства, он или она выбирает смело встретить врага, полностью осознавая, что это будет означать смерть.","heroic sacrifice"
"7871","средняя грудь","249","Средняя грудь — это грудь, имеющая умеренный размер, но не слишком большая, как большая грудь. Средняя грудь — это то, что считается нормальным размером в реальной жизни, тогда как грудь ниже среднего размера называется маленькой грудью.","medium breasts"
"6019","промывание мозгов","248","Промывание мозгов, применение принудительных техник для изменения ценностей и убеждений, восприятия и суждений, а также последующих установок и поведения одного или нескольких людей, обычно в политических, финансовых, личных или религиозных целях. Жертва остаётся с промытыми мозгами. Часто фигурирует в тёмных аниме или порнографии.","brainwashing"
"6218","гоккун","247","Гоккун — это сексуальная активность, при которой человек, не обязательно, но обычно женщина, проглатывает сперму непосредственно из пениса или из контейнера. Японское слово «гоккун», значение которого близко к «глотку» в английском, является ономатопеей, напоминающей звук глотания.","gokkun"
"1018","средняя школа","247","","middle school"
"3805","стилизация под Европу","245","Сеттинг аниме выполнен в каком-либо классическом европейском стиле. Представьте себе архитектурное и культурное смешение Лондона, Парижа, Рима, Берлина, Праги и других городов в том виде, в каком они существовали в любой момент XIX века или ранее.","European stylised"
"3953","в гуще событий","244","In medias res (лат. «в середину дел» (букв. в середину дел)) относится к литературному и художественному приёму, при котором повествование начинается в середине истории, а не с её начала. Это, как правило, сюжетно-ориентированная концепция, а не ориентированная на персонажа; хотя персонажи обычно используются для предоставления предыстории. Персонажи, сеттинг и конфликт часто представляются... [ещё]","in medias res"
"4492","групповое изнасилование","242","Групповое изнасилование происходит, когда группа исполнителей (не менее 2 человек) участвует в изнасиловании одной жертвы. Групповое изнасилование часто включает позицию тройничка.","gang rape"
"2568","божество","241","Некоторые религии говорят, что существует сверхъестественное существо по имени Бог. Другие религии говорят, что богов больше одного. Сверхъестественное существо также иногда называют божеством. Многие религии верят, что божество создало всё существующее. В большинстве религий считается, что бог бессмертен (не может умереть) и обладает силами, управляющими природой, далеко превосходящими силы людей.","deity"
"2649","тёмное фэнтези","240","Акцент на более тёмных темах в сеттинге фэнтези, иногда с уклоном в элементы хоррора. Часто доминируют мрачные и пессимистичные тона. Тёмные сверхъестественные существа, такие как вампиры, могут играть значительную роль.","dark fantasy"
"2725","ахегао","236","Термин, обозначающий странное выражение лица, иногда встречающееся в хентайных играх/аниме/манге. Канонически ахегао включает закатившиеся глаза, открытый рот и высунутый язык. Иногда также называется ""доведённым до беспамятства"".","ahegao"
"4193","неправдоподобная физика","234","Физика в этом аниме имеет мало общего с физикой реального мира и на самом деле очень преувеличена. Примеры: автомобили, сталкивающиеся с маленьким препятствием, но затем летящие по воздуху без видимой причины, или слабые пули, отбрасывающие тяжёлых персонажей через всю комнату.","improbable physics"
"5889","магическое оружие","234","Персонажи в этом аниме владеют магическим оружием.","magic weapons"
"3159","эмоции пробуждают сверхспособности","230","Во время крайнего эмоционального состояния — ярости, любви, ненависти, тоски, печали, сострадания — что-то внутри персонажа «щёлкнет», что значительно увеличит его/её силу, или просыпается новая сверхспособность, превосходящая всё, чего он/она достиг(ла) до этого момента.","emotions awaken superpowers"
"7075","экранизировано в японском фильме","226","Это аниме является новым оригинальным произведением, и оно было адаптировано в японский фильм. В чрезвычайно редких случаях конкретный эпизод нового оригинального аниме также может быть адаптирован.","adapted into Japanese movie"
"2907","генетическая модификация","224","В сюжетном плане генетическая модификация обычно сосредоточена на людях, вероятно, самом тонком и жутком способе вмешательства в человечество. Играя на страхе перед неизвестным, генетически изменённые люди технически являются новым видом, который может не только превзойти, но и фактически заменить неизменённых людей. Уровень модификации будет варьироваться от тонких изменений во «внешности» (например, красота) до умственных улучшений (пси-способности... [подробнее]","genetic modification"
"5529","чёрно-белый","222","Часть или всё это аниме выполнено в чёрно-белом цвете, что типично для старых аниме, сделанных до ~1960 года. Некоторые современные аниме могут намеренно переключаться на чёрно-белый цвет для определённых сцен или эпизодов в качестве художественного эффекта.","black and white"
"2805","4-кома манга","221","Формат комикса, который обычно состоит из юмористических комикс-полосок в четырёх равных по размеру панелях, расположенных сверху вниз.","4-koma manga"
"5993","чёрный юмор","220","Конечно, это смешно, но вам действительно не следует смеяться... Другими словами, это комедия, которая использует ситуации, над которыми хорошие люди не должны смеяться.","black humour"
"3867","разные ED","220","Несколько ED-последовательностей в этом аниме имеют либо другую песню, либо другую анимацию, возможно, даже до такой степени, что для каждой серии есть уникальный ED.","ED variety"
"3575","девица в беде","218","Девица в беде — обычно молодая, брачная женщина, помещенная злодеем или монстром в ужасное положение и требующая, чтобы герой пришел к ней на помощь. Часто используется, чтобы объединить актерский состав шоу ради этой цели, заставить их отложить разногласия и стать бандой накама. Примеры: Сакошита Янаги из «Rekka no Honoo», Юки Миака из «Fushigi Yuugi» или Хигураши Кагомэ из «Inuyasha».","damsel in distress"
"2905","эротическая пытка","216","Эротическая пытка предполагает преднамеренное использование (почти) любой формы физического или чрезмерного психологического насилия для причинения физической и/или душевной боли с целью вызвать сексуальное удовольствие. Это отличается от обычной, неэротической пытки, которая, как правило, предназначена для причинения боли либо для удовлетворения желаний мучителя, либо для принуждения жертвы к действиям.","erotic torture"
"2572","ниндзя","215","Ниндзя был тайным агентом или наёмником феодальной Японии, специализирующимся на нетрадиционных искусствах войны. Функции ниндзя включали шпионаж, саботаж, проникновение и убийство, а также открытый бой в определённых ситуациях. Ниндзя, использующие скрытые методы ведения войны, противопоставлялись самураям, у которых были строгие правила чести и боя.","ninja"
"2640","альтернативное прошлое","213","Аниме, действие которого происходит в альтернативном прошлом, — это аниме, которое явно не принадлежит ни будущему, ни настоящему и не связано особенно тесно с нашей историей или имеет связи с нашей историей, но только как предпосылка.","alternative past"
"28","бейсбол","211","Бейсбол похож на усложнённую версию раундерса. Он включает в себя удар по мячу битой, а затем бег по нескольким базам, расположенным в форме ромба на поле. Популярен в США, а также в Японии.","baseball"
"2069","делинквент","210","Делинквенты — они есть в каждой школе, но не во всех аниме со школьной обстановкой делают делинквентов центральной темой. Существует несколько версий этих делинквентов, хотя некоторые основаны на недопонимании.","delinquent"
"5952","конец света","210","Неминуемый конец света может варьироваться от полного уничтожения планеты Земля до разрушения поверхности Земли или до момента, когда жизнь человека на планете станет невозможной, то есть конца человечества. В любом случае перспективы мрачны, и главные герои борются за сохранение того, что могут.","end of the world"
"798","моэ","209","Моэ — это японское сленговое заимствованное слово, которое относится к чувствам сильной привязанности в основном к персонажам в аниме, манге и видеоиграх. На уровне аниме тег «милые девочки делают милые вещи» (CGDCT) также может применяться.","moe"
"2861","киберпанк","206","Киберпанк фокусируется на компьютерах или информационных технологиях, обычно в сочетании с определенной степенью разрушения общественного порядка. Сюжет часто вращается вокруг конфликта между хакерами, искусственным интеллектом и мегакорпорациями, действие, как правило, происходит в дистопической Земле ближайшего будущего.","cyberpunk"
"2704","игры со спермой","205","Фетиш своего рода, где фокус на сперме, которая эякулируется. Это может включать снежки, питьё больших количеств спермы, поедание её с еды, использование для чистки зубов, использование в качестве писсуара для спермы, полоскание ею горла, полоскание ею рта или любой другой акт с участием спермы, не связанный с оплодотворением яйцеклетки. Этим тегом не следует пользоваться, если нельзя... [далее]","cum play"
"4729","цветовое кодирование","204","У каждого персонажа основного состава уникальный цвет волос, чтобы помочь менее восприимчивым зрителям отличать их друг от друга.","colour coded"
"2709","нэторарэ","201","Нэторарэ — это когда у главного героя уводят его жену/девушку. Это сексуальный фетиш, предназначенный для вызова сексуальной ревности путём вовлечения героини в сексуальную активность с кем-то другим, кроме главного героя. Намерение или причина, вызывающая сценарий, не имеют никакого отношения к тому, является ли сценарий нэторарэ или нэтори; перспектива — единственный дифференцирующий фактор.","netorare"
"6030","культура отаку","197","Отаку (おたく/オタク) — японский термин, используемый для обозначения людей с навязчивыми интересами, особенно в аниме, манге и видеоиграх. Женщину-отаку иногда называют фудзёси. (Источник: Википедия) Здесь представлены определённые аспекты этого «фэндома» более подробно, например, создание додзинси (самоиздаваемой любительской манги).","otaku culture"
"3436","эксперименты на людях","195","Изображаются генетические, биологические, химические или психологические эксперименты на людях или показываются их последствия.","human experimentation"
"3597","мифология","194","Аниме черпает вдохновение из многих форм мифологий (греческой, египетской, скандинавской и т.д.) для создания своей истории и сеттинга.","mythology"
"1609","эльф","193","Эльф, в общем описании, почти божественные существа, с заострёнными ушами и бессмертной жизнью. Это мудрые существа, которые занимают царства и врата между человечеством и богами.","elf"
"6021","смена пола","192","Термин, используемый для обозначения человека, принимающего роль противоположного пола. Часто это ограничивается только кроссдрессингом (включая только внешний вид и одежду), но в более редких случаях включает в себя полную смену пола (что, кажется, более распространено в аниме) — когда добровольная или невольная жертва получает тело, противоположное своему исходному полу (либо навсегда, либо временно... [подробнее]","gender bender"
"2739","инцест брат-сестра","190","Аморальные или незаконные сексуальные отношения между двумя братом и сестрой.","brother-sister incest"
"6073","роман с разницей в возрасте","188","Представлен роман между людьми со значительной разницей в возрасте. В зависимости от того, насколько велика разница в возрасте и какое общество показано, это может считаться табу. В то время как термины ""лоликон"" и ""сётакон"", часто используемые в отношении аниме и его фэндома, ограничиваются физическим или эротическим влечением к сексуально преждевременно развившимся девочкам или мальчикам соответственно, этот тег расширяется до платонических романов и других возрастных диапазонов.","age difference romance"
"5790","семья без матери","188","По какой-то причине мать главного героя больше не в мире живых. Слишком ранняя смерть наступила из-за болезни или несчастного случая.","family without mother"
"1063","начальная школа","187","Термин «начальная школа» используется в некоторых странах для обозначения школ, где дети примерно с пятилетнего возраста получают начальное образование.","elementary school"
"4542","без диалогов","186","В аниме либо нет разговорных диалогов, либо вообще нет диалогов.","no dialogue"
"3663","захват тела","185","Тело человека захвачено каким-то чужеродным разумом. Это не зомбирование, потому что они всё ещё контролируют свой собственный разум — но это всё, что у них есть. Либо они стали наблюдателями в собственном теле, либо их душа была полностью вытеснена из тела. В любом случае, остальные скоро поймут, что он не в себе.","body takeover"
"2828","на грани порно","185","Аниме считается находящимся на грани порно, когда не-порно аниме содержит контент, где, с одной стороны, физические взаимодействия и диалоги между персонажами могут быть крайне сексуальными без занятия реальным сексом, а с другой — происходит реальный секс, несмотря на то, что аниме не является порно.","borderline porn"
"2892","домохозяйки","185","Домохозяйка — зрелая женщина (должна быть вне школьного возраста), которая в нашем контексте не обязательно должна быть замужем, но обычно замужем. Домохозяйка не работает (в зависимости от контекста она была бы офисной работницей), однако, поскольку мы не столько углубляемся в технические детали, сколько в визуальные, это ограничение может быть отброшено, если рассматриваемый персонаж показывается в основном в домашней обстановке... [ещё]","housewives"
"2890","фут-фетиш","184","Аниме содержит сцены, вращающиеся вокруг фут-фетишизма.","foot fetish"
"1471","смертельный повар","182","Персонаж безнадёжно плохо готовит, и любые его попытки приготовить даже самые простые блюда оказываются грандиозными провалами.","lethal chef"
"5862","мелодрама","182","Мелодрама — это драматическое произведение, которое преувеличивает сюжет и персонажей, чтобы воздействовать на эмоции, часто с сильно стереотипными персонажами.","melodrama"
"6349","многосегментные эпизоды","181","Многосегментные эпизоды разделены на несколько коротких сегментов (частей), обычно с отдельными названиями и независимыми сюжетными линиями. Не путать с короткими эпизодами, которые являются обычными эпизодами, которые намного короче стандартной длины (до 10 минут включительно). Также не путать с OVA или музыкальным видео, в которых несколько (в остальном не связанных) полноформатных эпизодов объединены в одну видео-дорожку эпизода.","multi-segment episodes"
"4383","ситуация с заложниками","180","Один или несколько персонажей в этом аниме берутся в заложники, чтобы оказать давление или шантажировать другие вовлечённые стороны. Лицо, отданное в залог или гарантию выполнения условий договора или положений любого рода, при выполнении которых лицо должно быть освобождено. (Источник: Викисловарь)","hostage situation"
"1774","гигантская грудь","179","Гигантская грудь — это неестественно большая грудь, даже по меркам аниме; это настоящие чудовищные монструозности, будь то из-за огромного размера или комбинации размера и чрезвычайно неестественной формы. По сути, грудь, занимающая по крайней мере столько же места, сколько остальная часть грудной клетки или живота, или почти такая же большая, но имеющая абсурдно неестественную форму, является гигантской; меньшая грудь... [подробнее]","gigantic breasts"
"5585","проклятие","178","«Проклятие» в этом смысле изображает невзгоду, наложенную на человека или объект сверхъестественной силой, часто представленной уникальными узорами и символами, найденными на поражённом. Хотя не все проклятия имеют негативные эффекты, большинство из них предназначены для постоянного наложения на душу получающей жертвы.","curse"
"1864","экстрасенсорное восприятие","178","Экстрасенсорное восприятие (ЭСВ) предполагает получение информации не через признанные физические чувства, а воспринимаемой разумом.","extrasensory perception"
"4588","быстрый темп","178","Держитесь за шляпы, сюжетная линия этого аниме неумолима. У персонажей нет времени перевести дух, поскольку события держат как их, так и зрителя на американских горках открытий и волнений! Надеемся, всё это имеет смысл...","fast-paced"
"5768","полная семья","178","Семья главного героя — так называемая «нуклеарная семья». В которой оба родителя живы и присутствуют в его или её жизни. На самом деле это относительно редко для аниме, где «родительское заброшенство» является нормой.","intact family"
"4521","утраченные технологии","178","Любая передовая технология или научные знания, которые были утеряны по какой-либо причине, подходят под описание. Это может быть технология из времени до постапокалиптического катаклизма, знания, полученные давно, но забытые, или реликвии древней инопланетной цивилизации, недавно обнаруженные.","lost technology"
"2674","Китай","177","Китай, официально Китайская Народная Республика (КНР), — унитарное суверенное государство в Восточной Азии и самая густонаселённая страна в мире. Это третья или четвёртая страна по общей площади в зависимости от используемого источника. У Китая также больше всего соседних стран в мире. Управляемая Коммунистической партией Китая, она осуществляет юрисдикцию над 22 провинциями, 5 автономными районами, 4 упра... [далее]","China"
"893","доминатриса","177","Доминатриса — это женщина, обычно платный профессионал, которая берёт на себя доминирующую роль в БДСМ-активностях. Доминатриса может быть любой сексуальной ориентации, что не обязательно ограничивает пол её подчинённых партнёров. Роль доминатрисы может даже не включать физическую боль по отношению к подчинённому; её доминирование может быть вербальным, включать унизительные задачи или служение. Общий термин для... [ещё]","dominatrix"
"2631","остров","176","Часть этого аниме происходит на острове, небольшом участке суши, окружённом морем. Как правило, островная обстановка включает взаимодействие с «островными» элементами. Такие элементы могут включать (но не ограничиваться): поездки на лодке, рыбалку, собирательство/охоту, пляжные сцены, «мирную островную жизнь», «кораблекрушение», островную лихорадку, сетования на изоляцию от материка и т.д.","island"
"6029","обыденное, сделанное крутым","176","Добавляя преувеличенные выражения и жесты, чрезмерную интонацию, освещение, замедленное движение, захватывающую оркестровую музыку или зловещее латинское пение, повседневные обыденные события можно сделать крутыми!","mundane made awesome"
"3314","судьба","175","Судьба — предначертанный путь всего сущего. Исход неизбежен, а последствия предопределены. Будет ли главный герой в конечном счёте следовать этому пути, тяжким бременем ляжет на его душу.","fate"
"4046","четверка","175","Когда четыре человека занимаются сексом друг с другом одновременно.","foursome"
"1279","школа для девочек","174","Эта школа предназначена только для учениц. Хотя там могут быть несколько учителей-мужчин.","all-girls school"
"2629","пустыня","173","Место действия с огромным количеством песка, безжалостно высокими температурами и очень малым количеством воды.","desert"
"4048","японская мифология","173","Японская мифология — это система верований, включающая синтоистские и буддийские традиции, а также народную религию, основанную на земледелии. Только синтоистский пантеон состоит из бесчисленного количества ками (японское слово для «богов» или «духов»). (Источник: Википедия)","Japanese mythology"
"2882","дистопия","172","Дистопия — это в литературе часто футуристическое общество, которое деградировало до репрессивного и контролируемого состояния, часто под видом утопии.","dystopia"
"3671","повторное использование кадров","169","Повторное использование кадров — это многократное применение одной и той же последовательности кадров, обычно как следствие ограниченного бюджета на производство аниме. Это может происходить путем использования одних и тех же кадров по одному разу, но много раз на протяжении сериала, или путем их непосредственного зацикливания. Типы сцен, которые обычно повторяются, включают трансформации, атаки и любые действия, связанные с повторением одного и того же движения... [подробнее]","footage reuse"
"7872","огромная грудь","169","Огромная грудь — это грудь, которая заметно больше, чем то, что вы можете обычно видеть в реальной жизни, часто размером с голову персонажа или даже больше. Она больше, чем большая грудь, и меньше, чем менее распространённая совершенно нереалистично выглядящая гигантская грудь.","huge breasts"
"1996","военно-воздушные силы","166","Военно-воздушные силы, также известные в некоторых странах как авиационная армия или авиационный корпус, в самом широком смысле — это национальная военная организация, которая в первую очередь ведет воздушную войну. Как правило, военно-воздушные силы отвечают за завоевание превосходства в воздухе, проведение стратегических бомбардировок и поддержку наземных сил. Военно-воздушные силы обычно состоят из комбинации истребителей, бомбардировщиков, вертолетов, транспортных самолетов и других летательных аппаратов.","air force"
"4198","тяжёлый труд и упорство","166","Один из девизов персонажа в аниме. Потому что нет ничего, чего нельзя было бы достичь тяжёлым трудом и упорством.","hard work and guts"
"301","лактация","166","Способна выделять грудное молоко, иногда называемое материнским молоком.","lactation"
"4612","«Мечтают ли андроиды об электроовцах?»","165","Фраза подразумевает набор экзистенциальных вопросов: Мечтают ли искусственные существа (например, репликанты, биороботы или другие ИИ-конструкты), чувствуют ли они, есть ли у них душа? Если воспоминания можно имплантировать, что делает настоящие воспоминания реальными? И наоборот — что делает людей человечными? Что такое реальность?","Do Androids Dream of Electric Sheep?"
"2730","эксгибиционизм","165","Эксгибиционизм — это акт обнажения в публичном или полупубличном контексте тех частей тела, которые обычно не обнажаются. Это может делаться для возбуждения сексуального желания, но многие формы эксгибиционизма на самом деле предназначены для создания юмора или уничижения. Идея эксгибиционизма тесно связана с понятиями приличия и скромности в одежде и, как таковая, сильно зависит от собственной культуры че... [далее]","exhibitionism"
"2871","антивоенное","164","Аниме изображает безумие войны.","anti-war"
"3751","помпезная демонстрация богатства","163","Некоторые персонажи этого аниме происходят из очень богатых семей. Огромное поместье с большим особняком или замком, флотилия дорогих автомобилей, частные самолёты или острова и множество слуг глубоко впечатлят зрителя.","grandiose displays of wealth"
"5518","шутки про плоскую грудь","161","Шутки о (предположительно или фактически) плоской груди персонажа.","flat chest jokes"
"3915","жестокое обращение с детьми","158","Сюжет изображает жестокое обращение с детьми, которое представляет собой очень сложный и опасный набор проблем, включающих пренебрежение детьми, а также физическое, эмоциональное и сексуальное насилие над детьми.","child abuse"
"2346","ангел","156","Сверхъестественное существо, считающееся посланником Бога. Их часто изображают в виде людей с парой белых крыльев из перьев, а иногда и с нимбом.","angel"
"4455","дисфункциональная семья","155","Когда нуклеарная семья (мать, отец и ребёнок(и)) взрывается из-за конфликтов между членами семьи, иногда приводя к распаду семьи или даже насилию.","dysfunctional family"
"4516","жестокое обращение с животными","154","Насилие над животными. Обществу защиты животных это не понравится.","animal abuse"
"3299","двойной фелляция","154","Двойной фелляция — это когда оральный секс совершается на пенис одновременно двумя людьми.","double fellatio"
"4398","антигерой","153","Антигерой — это главный персонаж в истории, которому не хватает традиционных героических качеств и атрибутов, таких как идеализм, мужество и мораль. Хотя антигерои иногда могут совершать поступки, которые морально правильны, это не всегда делается по правильным причинам, часто действуя в первую очередь из личных интересов или способами, которые противоречат общепринятым этическим нормам. Главный герой-злодей — это когда ведущий... [далее]","antihero"
"2391","бисёдзё","153","На Западе бисёдзё — это привлекательные девочки, обычно от позднего детства или раннего отрочества до позднего отрочества, особенно те, которые нравятся мужчинам, и, в частности, вымышленные персонажи, созданные способом, традиционно ассоциирующимся с сёдзё-мангой. Вымышленные бисёдзё, как правило, милые, окрашенные в пастельные тона подростки; им не хватает утончённости взрослых женщин, вместо этого у них детально прорисованные глаза и волосы... [далее]","bishoujo"
"5205","подземелье","153","Подземелье — это замкнутая среда в терминологии RPG. Подземелья обычно полны врагов и добычи, что соответствует предметам и деньгам, которые могут либо валяться вокруг, либо выпадать из убитых игроком врагов. Пещеры и руины являются одними из самых распространённых форм подземелий.","dungeon"
